"","first.tt","last.tt"
"382",9.28,16.66
"383",12.26,19.79
"384",0.27,7.95
"385",8.63,17.06
"386",5.04,13.57
"387",1.69,9.61
"388",9.5,17.24
"389",0.22,7.93
"390",1.3,8.26
"391",0.21,7.67
"392",11.25,19.95
"393",2.7,11.34
"394",10.95,18.16
"395",9.61,17.78
"396",5.61,14.13
"397",6.74,14.39
"398",2.49,10.77
"399",9.07,17
"400",7.56,15.75
